code,name,market,rs_rating,mom_trend,rsi14_3d,ret_3d_pct
1519,華城,TWSE,4,維持,31→39→44,5.5
1597,直得,TWSE,92,維持,62→59→66,1.9
2467,志聖,TWSE,90,維持,50→55→57,4.7
1590,亞德客-KY,TWSE,33,維持,54→56→54,-1.4
8039,台虹,TWSE,74,加速,43→53→60,13.1
8150,南茂,TWSE,48,維持,47→49→52,1.9
2886,兆豐金,TWSE,13,轉弱,57→56→52,-1.8
3715,定穎投控,TWSE,34,維持,38→41→49,5.8
3406,玉晶光,TWSE,45,維持,58→64→63,3.4
3005,神基,TWSE,13,加速,45→54→58,5.6
2609,陽明,TWSE,11,加速,50→54→63,7.1
1216,統一,TWSE,12,轉弱,54→52→45,-4.4
2880,華南金,TWSE,4,維持,38→38→37,-0.8
3645,達邁,TWSE,79,維持,53→59→58,0.5
4938,和碩,TWSE,28,維持,40→47→53,4.9
5871,中租-KY,TWSE,20,維持,48→50→48,0.9
6116,彩晶,TWSE,46,加速,56→64→71,16.7
3014,聯陽,TWSE,36,加速,65→73→75,10.4
8016,矽創,TWSE,59,維持,69→72→69,4.1
2884,玉山金,TWSE,7,轉弱,43→41→38,-2.2
3026,禾伸堂,TWSE,99,加速,77→81→84,30.5
3055,蔚華科,TWSE,77,轉弱,66→68→69,-4.8
2615,萬海,TWSE,27,加速,62→63→69,4.9
1513,中興電,TWSE,10,加速,41→53→56,4.3
6781,AES-KY,TWSE,16,加速,45→50→56,7.6
4576,大銀微系統,TWSE,91,維持,57→61→65,3.8
3209,全科,TWSE,88,維持,83→84→81,2.4
6443,元晶,TWSE,12,維持,55→52→51,-2.1
4904,遠傳,TWSE,15,轉弱,55→49→48,-2.6
2474,可成,TWSE,13,維持,34→36→39,1.9
1476,儒鴻,TWSE,3,維持,44→52→52,7.0
1711,永光,TWSE,81,維持,43→49→52,6.2
3605,宏致,TWSE,37,加速,56→59→57,6.4
3030,德律,TWSE,87,加速,47→56→64,16.2
6176,瑞儀,TWSE,3,加速,58→59→63,5.4
1582,信錦,TWSE,71,轉弱,60→66→64,-1.7
2498,宏達電,TWSE,18,維持,64→64→67,1.6
6414,樺漢,TWSE,37,加速,54→60→62,6.9
5285,界霖,TWSE,64,轉弱,86→87→77,4.1
2354,鴻準,TWSE,17,加速,52→56→60,4.3
6456,GIS-KY,TWSE,74,加速,42→51→58,11.7
3149,正達,TWSE,28,維持,61→62→66,2.2
2890,永豐金,TWSE,6,轉弱,32→31→26,-3.3
8926,台汽電,TWSE,45,加速,74→75→75,6.8
3413,京鼎,TWSE,21,加速,50→57→56,3.3
3023,信邦,TWSE,45,加速,59→64→64,2.3
1504,東元,TWSE,6,加速,53→58→61,6.2
6962,奕力-KY,TWSE,23,加速,59→63→64,10.8
5284,jpp-KY,TWSE,62,加速,55→63→67,11.4
1402,遠東新,TWSE,11,加速,56→62→58,2.9
4722,國精化,TWSE,61,加速,60→67→73,17.2
6831,邁科,TWSE,97,維持,78→82→83,7.2
1301,台塑,TWSE,9,維持,35→37→36,-1.5
2476,鉅祥,TWSE,56,加速,53→60→61,5.2
4977,眾達-KY,TWSE,62,維持,44→45→51,8.1
3504,揚明光,TWSE,51,維持,74→76→71,6.6
8271,宇瞻,TWSE,80,維持,49→51→53,1.4
6409,旭隼,TWSE,2,維持,33→33→36,-2.4
2428,興勤,TWSE,43,加速,78→80→83,13.3
6742,澤米,TWSE,53,加速,82→86→85,17.8
6919,康霈*,TWSE,1,維持,48→48→51,0.0
